YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M
1990,2,22,3.93,4.9,0.55,341.4,77.1,-999.0,-999.0,-999.0,-999.0,2.6,14.37,9.86,12.12,14.35,8.1,19.01,10.91,7.45,76.5,0.0,102.36,3.42,4.68,143.5,4.71,7.47,143.81
1990,2,23,4.2,5.13,0.59,331.1,81.7,-999.0,-999.0,-999.0,-999.0,3.65,14.3,10.48,12.39,14.63,6.16,18.15,11.99,7.75,79.06,0.02,102.59,4.78,4.7,48.06,6.23,5.51,48.31
1990,2,24,5.22,5.43,0.72,314.6,100.5,-999.0,-999.0,-999.0,-999.0,1.34,14.2,9.08,11.64,14.54,9.93,19.5,9.58,7.08,74.19,0.0,102.5,1.88,2.62,167.56,2.48,4.16,165.06
1990,2,25,4.68,4.68,0.64,303.9,87.7,-999.0,-999.0,-999.0,-999.0,3.27,13.95,6.87,10.4,14.12,11.06,19.75,8.69,6.1,64.56,0.0,102.12,4.44,2.42,241.31,6.44,4.64,241.94
1990,2,26,4.69,4.71,0.63,314.3,87.7,-999.0,-999.0,-999.0,-999.0,4.55,14.55,5.77,10.16,14.46,12.02,21.34,9.32,5.68,57.94,0.0,101.95,6.04,2.23,247.75,8.77,2.36,248.44
1990,2,27,4.62,4.68,0.62,335.2,89.8,-999.0,-999.0,-999.0,-999.0,3.55,14.9,5.73,10.31,15.07,13.13,22.0,8.87,5.74,56.25,0.0,101.6,4.74,4.0,258.06,7.0,7.43,259.38
1990,2,28,4.87,4.87,0.65,315.4,93.3,-999.0,-999.0,-999.0,-999.0,2.5,16.82,7.75,12.29,16.69,14.91,24.9,9.98,6.59,56.75,0.0,101.38,3.52,4.47,268.81,5.27,7.56,269.56
1990,3,1,4.71,4.7,0.62,319.3,91.0,-999.0,-999.0,-999.0,-999.0,4.05,16.97,8.24,12.61,16.62,12.39,23.65,11.26,6.77,58.12,0.0,101.22,5.49,3.34,244.62,8.26,4.52,245.06
1990,3,2,4.68,4.7,0.61,325.2,90.2,-999.0,-999.0,-999.0,-999.0,2.63,15.96,10.19,13.08,16.71,10.98,22.01,11.03,7.81,70.5,0.0,101.21,3.52,4.48,138.12,5.13,7.54,152.5
1990,3,3,3.84,5.38,0.5,366.8,77.0,-999.0,-999.0,-999.0,-999.0,6.43,14.79,9.23,12.01,14.67,4.12,16.83,12.7,7.2,70.31,0.0,101.72,8.34,4.63,38.0,10.65,4.55,38.38
1990,3,4,1.59,5.4,0.2,375.7,34.5,-999.0,-999.0,-999.0,-999.0,6.51,14.05,9.85,11.95,14.49,4.95,16.87,11.92,7.45,76.12,0.49,102.26,8.36,3.53,44.94,10.32,3.12,45.5
1990,3,5,3.68,5.45,0.47,374.0,74.8,-999.0,-999.0,-999.0,-999.0,4.39,13.96,9.08,11.52,14.55,5.38,16.69,11.31,7.02,73.06,0.1,102.41,5.66,3.46,78.94,7.33,2.44,79.44
1990,3,6,4.4,4.62,0.56,344.0,86.3,-999.0,-999.0,-999.0,-999.0,1.91,13.12,8.41,10.77,13.98,6.49,16.55,10.06,6.77,74.31,0.0,102.13,2.61,2.03,106.06,3.52,4.09,105.75
